LfNr;Datum;Zeit;WoTag;Straﬂenklasse;Straﬂennummer;Gemeinde;Strasse;Tˆdlich verletzt;Schwer verletzt;Leicht verletzt;Anzahl Beteiligte;VU-Art;Charakteristik1 VU-Stelle;Charakteristik2 VU-Stelle;Besonderheit1 VU-Stelle;Besonderheit2 VU-Stelle;Besonderheit3 VU-Stelle;LZA;VU-Kategorie;VU-Typ;Unter-Typ;VU-Ursache Verursacher;2.VU-Ursache Verursacher;VU-Ursache 2. Beteiligter;2.VU-Ursache 2. Beteiligter;Allgmeine Ursache Verursacher;Verkehrsbeteiligung Verursacher;Verkehrsbeteiligung 2. Beteiligter;Jahr;Monat;Tag;Lichtverh‰ltnisse;Straﬂenzustand;Verursacher;Bet_02;Unfall-Typ;Fahrtrichtung;Koord.x;Koord.y
1; 04.01.2021; 06:05; Mo;3;828; Oldenburg (Oldb); Edewechter Landstraﬂe;0;0;1;2;5;2;;0;9;;;3;3;341;28;;;;;21;71;2021;1;4; du; na; PKW; RF; EK; aufsteigend;8,134932;53,126958
2; 04.01.2021; 11:55; Mo;5;; Oldenburg (Oldb); Dwaschweg;0;0;1;2;5;2;;;;;;3;3;342;28;;;;;21;72;2021;1;4; he; na; PKW; RF; EK; aufsteigend;8,242545;53,08837
3; 04.01.2021; 12:00; Mo;5;; Oldenburg (Oldb); Brookweg;0;0;1;2;5;2;;9;;;;3;3;342;28;;10;;;21;71;2021;1;4; he; na; PKW; RF; EK; aufsteigend;8,192593;53,171518
4; 04.01.2021; 16:30; Mo;5;; Oldenburg (Oldb); Bardieksweg;0;0;0;2;1;3;;;;;;5;5;501;49;;;;;72;21;2021;1;4; d‰; na; RF; PKW; RV;;8,20306;53,186051
5; 05.01.2021; 07:50; Di;5;; Oldenburg (Oldb); August-Wilhelm-K¸hnholz-Straﬂe;0;0;1;2;3;;;;;;;3;5;581;45;;;;;21;71;2021;1;5; du; na; PKW; RF; RV; aufsteigend;8,25336;53,106207
6; 05.01.2021; 08:30; Di;5;; Oldenburg (Oldb); Katharinenstraﬂe;0;0;1;2;4;1;;;;;8;3;2;224;35;;;;;21;71;2021;1;5; he; na; PKW; RF; AB; absteigend;8,208823;53,143266
7; 06.01.2021; 11:30; Mi;5;; Oldenburg (Oldb); Theodor-Pekol-Straﬂe;0;0;1;2;5;2;;0;9;;8;3;3;341;28;;;;;21;71;2021;1;6; he; na; PKW; RF; EK; absteigend;8,197065;53,169538
8; 06.01.2021; 16:40; Mi;3;866; Oldenburg (Oldb); Stedinger Straﬂe;0;0;1;2;5;2;;0;9;;;3;2;243;34;;;;;21;71;2021;1;6; du; na; PKW; RF; AB; absteigend;8,230461;53,136189
9; 07.01.2021; 07:40; Do;3;865; Oldenburg (Oldb); Am Stadtmuseum;0;0;0;2;5;1;;8;;;8;5;3;301;31;;31;;;71;21;2021;1;7; du; na; RF; PKW; EK; aufsteigend;8,214334;53,143411
10; 09.01.2021; 13:00; Sa;5;; Oldenburg (Oldb); Uhlhornsweg;0;0;1;2;6;;;9;;;;3;6;671;64;;42;;;81;71;2021;1;9; he; tr; FG; RF; LV; absteigend;8,178127;53,144645
11; 11.01.2021; 06:35; Mo;5;; Oldenburg (Oldb); Peterstraﬂe;0;0;1;2;5;1;;;;;8;3;2;211;35;;;;;21;71;2021;1;11; du; na; PKW; RF; AB; absteigend;8,207387;53,141683
12; 11.01.2021; 14:30; Mo;5;; Oldenburg (Oldb); Sachsenstraﬂe;0;0;1;2;5;2;;0;9;;;3;3;341;28;;;;;21;72;2021;1;11; he; na; PKW; RF; EK; absteigend;8,208788;53,159997
13; 11.01.2021; 15:05; Mo;5;; Oldenburg (Oldb); Stiekelkamp;0;0;1;2;5;2;;;;;;3;3;302;28;;;;;21;72;2021;1;11; he; na; PKW; RF; EK;;8,206085;53,183092
14; 11.01.2021; 17:40; Mo;5;; Oldenburg (Oldb); Wilhelmshavener Heerstraﬂe;0;0;1;2;5;2;;0;9;;8;3;2;244;34;;;;;21;71;2021;1;11; du; na; PKW; RF; AB; absteigend;8,230091;53,185051
15; 12.01.2021; 07:50; Di;2;401; Oldenburg (Oldb); Nordmoslesfehner Straﬂe;0;0;0;2;5;1;;0;9;;;5;3;342;28;;;;;21;72;2021;1;12; du; na; PKW; RF; EK;;8,129587;53,108063
16; 13.01.2021; 08:20; Mi;5;; Oldenburg (Oldb); Friedhofsweg;0;0;1;1;0;;;9;;;;3;1;102;49;;;;72;71;;2021;1;13; he; wgl; RF; -; F; aufsteigend;8,198824;53,153629
17; 13.01.2021; 08:45; Mi;5;; Oldenburg (Oldb); Stau;0;0;0;2;2;;;;;;;5;7;711;36;;;;;46;71;2021;1;13; he; na; LKW; RF; SO;;8,232867;53,140682
18; 13.01.2021; 09:47; Mi;5;; Oldenburg (Oldb); Bremer Heerstraﬂe;0;1;0;1;0;;;6;;;;2;1;141;10;;;;72;71;;2021;1;13; he; wgl; RF; -; F; aufsteigend;8,250279;53,123761
19; 13.01.2021; 12:50; Mi;5;; Oldenburg (Oldb); Osterkampsweg;0;0;1;2;5;1;;;;;;3;3;306;11;;;;;21;71;2021;1;13; he; tr; PKW; RF; EK; absteigend;8,154311;53,129526
20; 13.01.2021; 17:45; Mi;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;0;1;2;5;1;;0;9;;;3;3;303;28;;;;;21;71;2021;1;13; du; na; PKW; RF; EK;;8,225544;53,16391
21; 14.01.2021; 09:15; Do;5;; Oldenburg (Oldb); Chaukenstraﬂe;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;1;14; he; na; RF; PKW; RV; absteigend;8,216897;53,159717
22; 14.01.2021; 15:35; Do;5;; Oldenburg (Oldb); Fuﬂ- und Radweg Rtg Stau;0;0;1;2;4;2;;;;;;3;6;681;49;;;;;71;71;2021;1;14; he; na; RF; RF; LV; absteigend;8,237128;53,138082
23; 19.01.2021; 07:04; Di;5;; Oldenburg (Oldb); Stubbenweg;0;0;1;2;5;2;;;;;;3;3;302;28;;;;;21;71;2021;1;19; du; na; PKW; RF; EK; aufsteigend;8,229017;53,180246
24; 19.01.2021; 07:13; Di;3;865; Oldenburg (Oldb); Elsflether Straﬂe;0;0;1;2;5;3;;;;;;3;3;342;37;;;;;21;71;2021;1;19; du; na; PKW; RF; EK;;8,262861;53,169456
25; 19.01.2021; 18:00; Di;5;; Oldenburg (Oldb); Stau;0;0;1;2;5;2;;;;;;3;2;232;34;;;;;21;71;2021;1;19; du; tr; PKW; RF; AB; absteigend;8,227616;53,140647
26; 19.01.2021; 18:25; Di;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;1;;;;;8;3;2;243;34;;;;;21;71;2021;1;19; du; na; PKW; RF; AB; absteigend;8,20945;53,156298
27; 20.01.2021; 07:35; Mi;5;; Oldenburg (Oldb); Hochheider Weg;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;1;20; du; na; RF; PKW; RV;;8,239082;53,166111
28; 20.01.2021; 14:10; Mi;5;; Oldenburg (Oldb); Stau;0;1;0;2;5;2;;;;;8;2;3;301;31;;;;;72;21;2021;1;20; he; tr; RF; PKW; EK; absteigend;8,218968;53,140285
29; 22.01.2021; 09:50; Fr;5;; Oldenburg (Oldb); Feldstraﬂe;0;0;1;2;5;2;;0;9;;;3;3;342;28;;;;;21;71;2021;1;22; he; tr; PKW; RF; EK; absteigend;8,201161;53,165611
30; 23.01.2021; 21:29; Sa;5;; Oldenburg (Oldb); An den Voﬂbergen;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;1;23; d‰; tr; RF; PKW; RV;;8,215485;53,114078
31; 24.01.2021; 12:40; So;5;; Oldenburg (Oldb); Heidjerweg;0;0;1;2;1;;;8;;;;3;5;501;49;;;;;71;21;2021;1;24; he; tr; RF; PKW; RV; aufsteigend;8,228072;53,091482
32; 25.01.2021; 06:50; Mo;5;; Oldenburg (Oldb); Staulinie;0;0;0;2;5;3;;0;9;;;5;2;243;34;;;;;21;71;2021;1;25; du; na; PKW; RF; AB;;8,215191;53,14183
33; 25.01.2021; 08:10; Mo;5;; Oldenburg (Oldb); Hogenkamp;0;0;0;2;5;2;;0;9;;;5;3;302;28;;;;;21;71;2021;1;25; d‰; na; PKW; RF; EK;;8,191503;53,119339
34; 25.01.2021; 08:44; Mo;5;; Oldenburg (Oldb); Langenweg;0;0;1;2;5;2;;;;;;3;3;371;37;;49;;;71;21;2021;1;25; he; na; RF; PKW; EK;;8,218163;53,185057
35; 26.01.2021; 06:45; Di;5;; Oldenburg (Oldb); Rebenstraﬂe;0;0;1;2;5;2;;;;;;3;3;302;28;;;;;21;71;2021;1;26; du; na; PKW; RF; EK;;8,214005;53,155695
36; 27.01.2021; 13:01; Mi;5;; Oldenburg (Oldb); Maastrichter Straﬂe;0;0;1;2;5;2;;0;9;;;3;3;341;28;;;;;21;71;2021;1;27; he; na; PKW; RF; EK; absteigend;8,225672;53,145965
37; 29.01.2021; 07:30; Fr;5;; Oldenburg (Oldb); Butjadinger Straﬂe;0;0;1;2;5;2;;9;;;;3;2;244;34;;;;;21;71;2021;1;29; du; tr; PKW; RF; AB; absteigend;8,250378;53,166354
38; 29.01.2021; 13:28; Fr;5;; Oldenburg (Oldb); Kreyenstraﬂe;0;0;1;2;5;2;;9;;;;3;3;341;28;;;;72;21;71;2021;1;29; he; wgl; PKW; RF; EK; aufsteigend;8,214265;53,167101
39; 29.01.2021; 14:05; Fr;5;; Oldenburg (Oldb); Bahnhofsallee;0;0;0;2;5;2;;0;9;;;5;3;342;28;;;;;21;72;2021;1;29; he; wgl; PKW; RF; EK;;8,237281;53,101833
40; 01.02.2021; 07:40; Mo;5;; Oldenburg (Oldb); Bahndamm;0;0;1;1;0;;;0;9;;;3;1;141;49;;;;72;71;;2021;2;1; d‰; wgl; RF; -; F;;8,240822;53,106505
41; 01.02.2021; 14:40; Mo;3;824; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;3;;0;9;;;3;3;342;37;;;;72;21;71;2021;2;1; he; na; PKW; RF; EK; aufsteigend;8,198045;53,168618
42; 02.02.2021; 06:00; Di;5;; Oldenburg (Oldb); Unterm Berg;0;0;1;2;5;1;;0;9;;;3;3;302;28;;;;;21;71;2021;2;2; du; na; PKW; RF; EK;;8,233344;53,149942
43; 04.02.2021; 08:25; Do;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;0;1;2;5;1;;4;;;8;3;3;343;31;;;;;71;21;2021;2;4; he; na; RF; PKW; EK;;8,226844;53,166128
44; 04.02.2021; 09:30; Do;5;; Oldenburg (Oldb); Banater Weg;0;0;0;2;5;1;;8;;;;5;3;342;28;;;;;21;71;2021;2;4; he; na; PKW; RF; EK;;8,197064;53,173087
45; 09.02.2021; 11:50; Di;5;; Oldenburg (Oldb); Theaterwall;0;0;1;2;5;3;;0;9;;;3;2;243;34;;;;72;21;71;2021;2;9; he; wgl; PKW; RF; AB; absteigend;8,212227;53,138147
46; 12.02.2021; 06:10; Fr;5;; Oldenburg (Oldb); Sch¸tzenhofstraﬂe;0;0;1;2;5;2;;;;;9;3;2;261;11;35;;;;21;71;2021;2;12; du; tr; PKW; RF; AB; aufsteigend;8,226165;53,129664
47; 13.02.2021; 15:17; Sa;5;; Oldenburg (Oldb); Ekernstraﬂe;0;0;0;2;2;2;;;;;;5;6;601;49;;;;82;21;71;2021;2;13; he; tr; PKW; RF; LV;;8,231312;53,18283
48; 16.02.2021; 08:55; Di;5;; Oldenburg (Oldb); Zillestraﬂe;0;0;0;2;1;3;;;;;;5;5;593;49;;;;72;71;21;2021;2;16; he; wgl; RF; PKW; RV;;8,219531;53,171419
49; 16.02.2021; 09:45; Di;5;; Oldenburg (Oldb); Elisabethstraﬂe;0;0;1;1;0;;;;;;;3;1;199;49;;;;72;71;;2021;2;16; he; wgl; RF; -; F; absteigend;8,211968;53,133193
50; 18.02.2021; 11:01; Do;5;; Oldenburg (Oldb); Bremer Straﬂe;0;0;1;2;5;3;;0;9;;;3;3;341;28;;;;;21;71;2021;2;18; he; na; PKW; RF; EK; absteigend;8,224743;53,130379
51; 20.02.2021; 11:15; Sa;3;865; Oldenburg (Oldb); Heiligengeistwall;0;0;0;1;0;1;;0;9;;;5;7;775;55;;;;;71;;2021;2;20; he; tr; RF; -; SO; absteigend;8,209034;53,141722
52; 23.02.2021; 11:30; Di;3;865; Oldenburg (Oldb); Elsflether Straﬂe;0;0;1;2;5;2;;0;9;;;3;3;341;28;;;;;21;71;2021;2;23; he; tr; PKW; RF; EK;;8,251606;53,164157
53; 24.02.2021; 15:20; Mi;5;; Oldenburg (Oldb); Klingenbergstraﬂe;0;0;1;3;5;;;;;;;3;3;371;37;;;;;71;21;2021;2;24; he; tr; RF; PKW; EK; absteigend;8,224272;53,108822
54; 25.02.2021; 10:30; Do;5;; Oldenburg (Oldb); Kreyenstraﬂe;0;0;1;2;5;1;;8;;;8;3;2;211;35;;;;;21;71;2021;2;25; he; tr; PKW; RF; AB;;8,226749;53,166182
55; 25.02.2021; 15:10; Do;5;; Oldenburg (Oldb); Eisvogelring;0;0;1;2;6;;;7;;;;3;4;401;13;;;;;71;81;2021;2;25; he; tr; RF; FG; ‹S;;8,241818;53,122182
56; 28.02.2021; 19:10; So;5;; Oldenburg (Oldb); Kaiserstraﬂe;0;0;1;2;5;2;;0;9;;;3;3;349;37;;;;;21;72;2021;2;28; du; tr; PKW; RF; EK; aufsteigend;8,221327;53,140972
57; 01.03.2021; 13:30; Mo;5;; Oldenburg (Oldb); Eﬂkamp;0;0;1;2;5;2;;;;;8;3;3;341;31;;;;;21;71;2021;3;1; he; tr; PKW; RF; EK; aufsteigend;8,21175;53,169901
58; 01.03.2021; 14:30; Mo;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;3;;0;9;;;3;2;243;34;;;;;21;72;2021;3;1; he; tr; PKW; RF; AB; absteigend;8,210274;53,154113
59; 03.03.2021; 12:10; Mi;3;865; Oldenburg (Oldb); Donnerschweer Straﬂe;0;0;1;2;5;3;;0;9;;;3;2;243;34;;;;;40;71;2021;3;3; he; tr; LKW; RF; AB; absteigend;8,230007;53,14961
60; 04.03.2021; 07:25; Do;5;; Oldenburg (Oldb); Pestalozzistraﬂe;0;0;1;2;5;3;;9;;;;3;3;341;37;;;;;21;71;2021;3;4; d‰; tr; PKW; RF; EK;;8,18427;53,13069
61; 05.03.2021; 09:30; Fr;5;; Oldenburg (Oldb); Marschweg;0;0;0;2;1;;;;;;;5;7;703;49;;;;;71;21;2021;3;5; he; tr; RF; PKW; SO;;8,205468;53,128224
62; 05.03.2021; 14:30; Fr;5;; Oldenburg (Oldb); Niedersachsendamm;0;1;0;2;0;;;;;;;2;6;681;49;;;;;71;71;2021;3;5; he; tr; RF; RF; LV;;8,214415;53,126062
63; 06.03.2021; 09:45; Sa;5;; Oldenburg (Oldb); Watertucht;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;3;6; he; tr; RF; PKW; RV; absteigend;8,156697;53,134274
64; 08.03.2021; 07:25; Mo;5;; Oldenburg (Oldb); Marschweg;0;0;1;2;5;3;;0;9;;;3;2;224;35;;;;;21;71;2021;3;8; he; tr; PKW; RF; AB; absteigend;8,20488;53,133979
65; 08.03.2021; 07:28; Mo;5;; Oldenburg (Oldb); Friedhofsweg;0;0;1;1;0;2;;6;;;;3;1;109;49;;;;72;71;;2021;3;8; he; wgl; RF; -; F;;8,199728;53,155972
66; 10.03.2021; 13:20; Mi;5;; Oldenburg (Oldb); Sonnenstraﬂe;0;0;2;2;6;;;;;;;3;4;421;64;;;;;81;71;2021;3;10; he; tr; FG; RF; ‹S;;8,220435;53,149971
67; 15.03.2021; 16:20; Mo;5;; Oldenburg (Oldb); Zaunkˆnigstraﬂe;0;0;1;2;5;2;;;;;;3;3;342;28;;;;;21;71;2021;3;15; he; tr; PKW; RF; EK;;8,239717;53,121002
68; 15.03.2021; 20:20; Mo;5;; Oldenburg (Oldb); S¸dring;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;3;15; du; tr; RF; PKW; RV;;8,217156;53,201446
69; 16.03.2021; 11:30; Di;3;866; Oldenburg (Oldb); Cloppenburger Straﬂe;0;0;1;2;5;3;;0;9;;;3;3;341;37;;;;;40;71;2021;3;16; he; tr; LKW; RF; EK;;8,219991;53,125353
70; 17.03.2021; 08:10; Mi;5;; Oldenburg (Oldb); Osterkampsweg;0;1;0;2;5;1;;;;;8;2;2;243;34;;;;;40;71;2021;3;17; he; tr; LKW; RF; AB;;8,182633;53,13663
71; 18.03.2021; 09:55; Do;5;; Oldenburg (Oldb); Theaterwall;0;0;1;2;5;1;;0;9;;8;3;2;243;34;;;;;40;71;2021;3;18; he; tr; LKW; RF; AB;;8,213387;53,13766
72; 21.03.2021; 10:43; So;5;; Oldenburg (Oldb); Weiﬂenmoorstraﬂe;0;0;1;1;7;;;;;;;3;7;799;49;;;;;71;;2021;3;21; he; tr; RF; -; SO;;8,204918;53,18386
73; 22.03.2021; 06:15; Mo;5;; Oldenburg (Oldb); Marschweg;0;0;1;1;0;2;;;;;;3;1;111;49;;;;;71;;2021;3;22; he; sch; RF; -; F; absteigend;8,204742;53,12621
74; 22.03.2021; 10:20; Mo;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;0;2;2;6;;;0;5;9;;3;4;401;64;;;;;81;71;2021;3;22; he; na; FG; RF; ‹S;;8,220347;53,156066
75; 23.03.2021; 16:00; Di;5;; Oldenburg (Oldb); Am Stadtmuseum;0;0;1;2;5;2;;0;9;;;3;2;243;34;;;;;21;71;2021;3;23; he; tr; PKW; RF; AB; absteigend;8,214466;53,14531
76; 24.03.2021; 09:16; Mi;5;; Oldenburg (Oldb); Bahnhofsallee;0;0;1;2;5;3;;9;;;;3;2;244;34;;;;;21;71;2021;3;24; he; tr; PKW; RF; AB; aufsteigend;8,23629;53,124147
77; 24.03.2021; 09:50; Mi;5;; Oldenburg (Oldb); Buschhagenweg;0;0;1;2;5;3;;;;;;3;3;341;37;;;;;21;71;2021;3;24; he; tr; PKW; RF; EK;;8,215127;53,120496
78; 24.03.2021; 16:30; Mi;3;824; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;3;;0;9;;;3;3;342;37;;10;;;21;71;2021;3;24; he; tr; PKW; RF; EK;;8,195756;53,170875
79; 24.03.2021; 18:20; Mi;5;; Oldenburg (Oldb); Sodenstich;0;0;1;2;5;2;;;;;;3;3;321;27;;;;;21;71;2021;3;24; he; tr; PKW; RF; EK;;8,19631;53,125669
80; 25.03.2021; 09:45; Do;5;; Oldenburg (Oldb); Ehnernstraﬂe;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;3;25; he; tr; RF; PKW; RV;;8,216578;53,153627
81; 25.03.2021; 14:31; Do;5;; Oldenburg (Oldb); Sch¸tzenhofstraﬂe;0;1;0;2;5;1;;8;;;;2;2;203;1;35;;;;71;21;2021;3;25; he; tr; RF; PKW; AB; aufsteigend;8,224661;53,127828
82; 26.03.2021; 05:43; Fr;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;2;;0;9;;9;3;2;223;35;;10;50;;21;71;2021;3;26; d‰; tr; PKW; RF; AB; absteigend;8,205549;53,161944
83; 30.03.2021; 15:44; Di;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;1;0;2;5;1;;0;3;8;8;2;2;243;34;;;;;21;71;2021;3;30; he; tr; PKW; RF; AB; aufsteigend;8,225139;53,163388
84; 30.03.2021; 18:17; Di;5;; Oldenburg (Oldb); Nadorster Straﬂe;0;1;0;2;5;;;;;;;2;3;371;37;;;;;71;21;2021;3;30; he; tr; RF; PKW; EK; aufsteigend;8,22074;53,156479
85; 31.03.2021; 16:50; Mi;3;865; Oldenburg (Oldb); Heiligengeistwall;0;0;2;2;6;1;;0;3;9;8;3;4;451;31;;;;;71;81;2021;3;31; he; tr; RF; FG; ‹S; absteigend;8,213127;53,143211
86; 01.04.2021; 15:45; Do;5;; Oldenburg (Oldb); Am Schmeel;0;0;1;2;2;3;;;;;;3;5;579;37;;;;;21;71;2021;4;1; he; tr; PKW; RF; RV;;8,243042;53,094178
87; 02.04.2021; 14:00; Fr;3;865; Oldenburg (Oldb); Heiligengeiststraﬂe;0;0;2;2;5;7;;9;;;8;3;2;211;35;;;;;71;71;2021;4;2; he; tr; RF; RF; AB; absteigend;8,213993;53,145896
88; 07.04.2021; 21:45; Mi;5;; Oldenburg (Oldb); Wehdestraﬂe;0;0;0;2;8;2;6;;;;;4;6;683;11;50;49;;;71;21;2021;4;7; du; na; RF; PKW; LV;;8,243395;53,14208
89; 08.04.2021; 13:40; Do;5;; Oldenburg (Oldb); Ammerl‰nder Heerstraﬂe;0;0;1;1;0;1;;8;;;8;3;7;799;49;;;;;72;;2021;4;8; he; tr; RF; -; SO;;8,17114;53,155309
90; 08.04.2021; 18:10; Do;5;; Oldenburg (Oldb); Scharnhorststraﬂe;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;4;8; he; tr; RF; PKW; RV;;8,187847;53,139279
91; 09.04.2021; 18:00; Fr;3;824; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;2;;0;9;;8;3;2;202;35;;10;;;21;72;2021;4;9; he; tr; PKW; RF; AB; aufsteigend;8,204955;53,162221
92; 10.04.2021; 12:50; Sa;3;824; Oldenburg (Oldb); Alexanderstraﬂe;0;0;1;2;5;3;;0;8;;;3;2;243;34;;;;;21;72;2021;4;10; he; tr; PKW; RF; AB; aufsteigend;8,194106;53,172487
93; 13.04.2021; 07:50; Di;3;865; Oldenburg (Oldb); Donnerschweer Straﬂe;0;0;1;2;5;1;;0;9;;8;3;2;242;34;;;;;21;71;2021;4;13; he; na; PKW; RF; AB;;8,214559;53,146675
94; 14.04.2021; 10:55; Mi;3;828; Oldenburg (Oldb); Hauptstraﬂe;0;0;1;1;0;;;;;;;3;7;799;49;;;;;72;;2021;4;14; he; tr; RF; -; SO; absteigend;8,191359;53,133418
95; 15.04.2021; 14:30; Do;5;; Oldenburg (Oldb); Hackenweg;0;0;1;2;4;6;;;;;;3;6;683;11;;;;;71;71;2021;4;15; he; tr; RF; RF; LV; aufsteigend;8,210354;53,164632
96; 16.04.2021; 16:30; Fr;5;; Oldenburg (Oldb); Am Wemkenhof;0;0;1;2;6;;;7;;;;3;7;799;42;;;;;71;81;2021;4;16; he; tr; RF; FG; SO;;8,227089;53,174047
97; 17.04.2021; 04:32; Sa;3;865; Oldenburg (Oldb); Elsflether Straﬂe;0;0;3;2;9;6;;0;9;;;3;6;652;11;;;;;71;21;2021;4;17; du; tr; RF; PKW; LV; absteigend;8,257978;53,169661
98; 17.04.2021; 09:30; Sa;5;; Oldenburg (Oldb); Billungerweg;0;0;0;2;1;;;;;;;5;5;501;49;;;;;71;21;2021;4;17; he; tr; RF; PKW; RV;;8,171343;53,131491
99; 19.04.2021; 07:55; Mo;5;; Oldenburg (Oldb); Wilhelmshavener Heerstraﬂe;0;0;1;2;5;2;;;;;8;3;2;212;49;;35;;;71;21;2021;4;19; he; tr; RF; PKW; AB;;8,229791;53,175441
100; 19.04.2021; 15:45; Mo;5;; Oldenburg (Oldb); Sprungweg;0;0;1;2;5;2;;8;;;;3;3;342;28;;;;;21;71;2021;4;19; he; tr; PKW; RF; EK;;8,242572;53,088382
101; 19.04.2021; 17:50; Mo;5;; Oldenburg (Oldb); Bahnhofsallee;0;0;1;2;5;2;;9;;;;3;2;223;35;;;;;21;71;2021;4;19; he; tr; PKW; RF; AB; absteigend;8,236424;53,126229
102; 20.04.2021; 16:00; Di;5;; Oldenburg (Oldb); Kranbergstraﬂe;0;0;0;2;5;1;;;;;;5;7;799;49;;;;;71;21;2021;4;20; he; tr; RF; PKW; SO;;8,235222;53,154871
103; 22.04.2021; 14:10; Do;5;; Oldenburg (Oldb); Heiligengeiststraﬂe;0;0;2;2;5;;;;;;;3;3;344;37;;;;;71;71;2021;4;22; he; tr; RF; RF; EK; absteigend;8,213583;53,14523
104; 22.04.2021; 17:00; Do;5;; Oldenburg (Oldb); Quellenweg;0;0;1;2;5;2;;;;;;3;3;301;28;;;;;71;71;2021;4;22; he; tr; RF; RF; EK; aufsteigend;8,186927;53,142281
105; 24.04.2021; 09:45; Sa;5;; Oldenburg (Oldb); Wunderburgstraﬂe;0;0;0;2;1;;;;;;;5;5;502;49;;;;;71;21;2021;4;24; he; tr; RF; PKW; RV; absteigend;8,234835;53,125148
106; 25.04.2021; 17:38; So;5;; Oldenburg (Oldb); Gartenstraﬂe;0;0;1;2;5;2;;;;;;3;3;371;37;;;;;71;21;2021;4;25; he; tr; RF; PKW; EK;;8,206591;53,134527
107; 26.04.2021; 10:00; Mo;5;; Oldenburg (Oldb); Scheideweg;0;0;0;2;5;3;;9;;;;5;2;224;35;;;;;21;71;2021;4;26; he; tr; PKW; RF; AB;;8,213262;53,168231
108; 28.04.2021; 10:20; Mi;5;; Oldenburg (Oldb); Theodor-Heuss-Straﬂe;0;0;1;2;5;3;;;;;;3;3;399;37;;;;;21;72;2021;4;28; he; tr; PKW; RF; EK; aufsteigend;8,171598;53,141023
109; 28.04.2021; 12:30; Mi;5;; Oldenburg (Oldb); Pferdemarkt;0;0;0;2;4;;;0;9;;;5;6;681;10;;;;;71;71;2021;4;28; he; tr; RF; RF; LV;;8,214865;53,14646
110; 03.05.2021; 11:10; Mo;5;; Oldenburg (Oldb); Klingenbergstraﬂe;0;0;0;2;5;3;;;;;;5;3;301;49;;;;;21;71;2021;5;3; he; na; PKW; RF; EK;;8,213711;53,109019
111; 03.05.2021; 16:00; Mo;5;; Oldenburg (Oldb); Alexanderstraﬂe;0;0;0;2;5;2;;0;9;;;5;2;223;10;;;;;71;21;2021;5;3; he; na; RF; PKW; AB;;8,208719;53,160004
112; 06.05.2021; 14:00; Do;5;; Oldenburg (Oldb); Schloﬂplatz;0;0;0;2;1;;;;;;;5;5;521;49;;;;;71;21;2021;5;6; he; tr; RF; PKW; RV;;8,21478;53,137853
113; 06.05.2021; 14:45; Do;5;; Oldenburg (Oldb); Lehmkuhlenstraﬂe;0;0;1;2;5;1;;;;;;3;3;321;27;;;;;71;21;2021;5;6; he; tr; RF; PKW; EK;;8,220727;53,153378
114; 06.05.2021; 17:58; Do;3;870; Oldenburg (Oldb); Cloppenburger Straﬂe;1;0;0;2;5;1;;0;9;;8;1;3;321;31;;;;;71;33;2021;5;6; he; tr; RF; BUS; EK;;8,219286;53,124065
